State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,26/06/2025,2500,3000,2750,82
Haryana,Jind,Narwana,Brinjal,Brinjal,FAQ,09/06/2025,1500,1500,1500,35
Haryana,Jind,Narwana,Onion,Other,FAQ,01/06/2025,1000,1000,1000,23
Haryana,Jind,Narwana,Onion,Other,FAQ,03/06/2025,1000,1000,1000,23
Haryana,Jind,Narwana,Onion,Other,FAQ,17/06/2025,1200,1200,1200,23
Haryana,Jind,Narwana,Onion,Other,FAQ,22/06/2025,1200,1200,1200,23
Haryana,Jind,Narwana,Onion,Other,FAQ,25/06/2025,1800,1800,1800,23
Haryana,Jind,Narwana,Onion,Other,FAQ,29/06/2025,1500,1500,1500,23
Haryana,Jind,Narwana,Banana,Other,Medium,11/06/2025,1600,1600,1600,19
Haryana,Jind,Narwana,Brinjal,Brinjal,FAQ,20/06/2025,2000,2000,2000,35
Haryana,Jind,Narwana,Potato,Other,FAQ,04/06/2025,1500,1500,1500,24
Haryana,Jind,Narwana,Potato,Other,FAQ,12/06/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Potato,Other,FAQ,06/06/2025,1000,1000,1000,24
Haryana,Jind,Narwana,Potato,Other,FAQ,20/06/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Potato,Other,FAQ,25/06/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Water Melon,Other,Medium,04/06/2025,1000,1000,1000,73
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,10/06/2025,5000,5000,5000,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,20/06/2025,5000,5000,5000,77
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,16/06/2025,4000,4000,4000,34
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,22/06/2025,3500,4000,3750,34
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,27/06/2025,4000,4000,4000,34
Haryana,Jind,Narwana,Potato,Other,FAQ,11/06/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Bhindi(Ladies Finger),Bhindi,FAQ,27/06/2025,2500,2500,2500,85
Haryana,Jind,Narwana,Tomato,Other,FAQ,02/06/2025,1000,1000,1000,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,17/06/2025,2000,2500,2250,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,20/06/2025,2000,2500,2250,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,25/06/2025,3000,3000,3000,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,29/06/2025,2500,2500,2500,78
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,01/06/2025,1000,1500,1250,159
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,06/06/2025,1500,1500,1500,159
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,10/06/2025,1800,2000,1900,159
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,22/06/2025,2000,2000,2000,159
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,18/06/2025,2000,2500,2250,159
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,20/06/2025,2000,2000,2000,159
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,27/06/2025,2000,2000,2000,159
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,04/06/2025,1500,1500,1500,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,06/06/2025,1500,1500,1500,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,09/06/2025,1500,1500,1500,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,13/06/2025,1000,1000,1000,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,20/06/2025,1000,1000,1000,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,21/06/2025,3000,3000,3000,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,24/06/2025,3000,3000,3000,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,25/06/2025,3000,3000,3000,311
